ID,Name,Age,Rank,Unit,FitnessScore,YearsOfService
1433,Priya Gupta,18,Havildar,Gorkha Rifles,90,2
1434,Raj Patel,24,Havildar,Sikh Regiment,65,0
1435,Arjun Patel,24,Lance Naik,Madras Regiment,78,0
1436,Anil Kapoor,19,Havildar,Dogra Regiment,96,0
1437,Devraj Malhotra,24,Naik,Para SF,63,1
1438,Devraj Chopra,25,Agniveer,Madras Regiment,63,3
1439,Arjun Patel,18,Agniveer,Para SF,79,1
1440,Arjun Iyer,26,Agniveer,Para SF,69,3
1441,Chandra Kumar,24,Lance Naik,Rajput Regiment,83,3
1442,Sandeep Yadav,20,Havildar,Gorkha Rifles,94,0
1443,Manoj Singh,25,Naik,Madras Regiment,85,2
1444,Priya Verma,24,Havildar,Madras Regiment,96,0
1445,Farhan Sharma,25,Havildar,Rajput Regiment,97,2
1446,Raj Saxena,23,Havildar,Sikh Regiment,80,3
1447,Farhan Chopra,26,Agniveer,Sikh Regiment,99,0
1448,Raj Kumar,22,Naik,Sikh Regiment,98,2
1449,Vikram Patel,20,Naik,Mechanised Infantry,80,1
1450,Manoj Reddy,20,Havildar,Para SF,69,2
1451,Priya Iyer,18,Agniveer,Mechanised Infantry,97,0
1452,Chandra Nair,25,Agniveer,Gorkha Rifles,63,1
1453,Rohit Patel,19,Naik,Rajput Regiment,79,2
1454,Chandra Gupta,20,Agniveer,Madras Regiment,76,2
1455,Chandra Kumar,25,Agniveer,Para SF,66,2
1456,Rohit Nair,25,Agniveer,Mechanised Infantry,63,2
1457,Chandra Singh,21,Lance Naik,Mechanised Infantry,88,2
1458,Anil Gupta,21,Havildar,Grenadiers,73,1
1459,Anil Kapoor,22,Naik,Mechanised Infantry,62,3
1460,Karan Kapoor,23,Naik,Dogra Regiment,83,1
1461,Chandra Kumar,22,Lance Naik,Madras Regiment,96,1
1462,Priya Singh,24,Havildar,Dogra Regiment,75,1
1463,Bhavesh Patel,19,Naik,Madras Regiment,63,3
1464,Farhan Deshmukh,24,Agniveer,Rajput Regiment,83,0
1465,Priya Deshmukh,27,Naik,Madras Regiment,93,3
1466,Arjun Singh,24,Agniveer,Dogra Regiment,89,1
1467,Devraj Kapoor,18,Lance Naik,Madras Regiment,77,2
1468,Devraj Malhotra,24,Agniveer,Rajput Regiment,78,2
1469,Eshwar Yadav,22,Naik,Rajput Regiment,90,1
1470,Devraj Patel,20,Naik,Gorkha Rifles,78,2
1471,Karan Yadav,20,Naik,Madras Regiment,78,1
1472,Arjun Chopra,21,Lance Naik,Grenadiers,81,2
1473,Priya Verma,19,Lance Naik,Sikh Regiment,83,3
1474,Anil Gupta,19,Havildar,Maratha Light Infantry,71,0
1475,Eshwar Verma,18,Naik,Rajput Regiment,89,0
1476,Bhavesh Malhotra,22,Agniveer,Signals Corps,97,3
1477,Arjun Reddy,21,Lance Naik,Sikh Regiment,90,3
1478,Rohit Deshmukh,27,Naik,Para SF,95,1
1479,Vikram Deshmukh,19,Naik,Madras Regiment,78,1
1480,Karan Chopra,20,Lance Naik,Dogra Regiment,95,1
1481,Raj Iyer,24,Havildar,Maratha Light Infantry,89,2
1482,Arjun Nair,24,Lance Naik,Signals Corps,92,1
1483,Farhan Sharma,21,Lance Naik,Sikh Regiment,77,3
1484,Vikram Iyer,22,Agniveer,Madras Regiment,87,0
1485,Bhavesh Deshmukh,22,Agniveer,Gorkha Rifles,70,2
1486,Devraj Deshmukh,23,Havildar,Para SF,92,1
1487,Karan Sharma,26,Naik,Maratha Light Infantry,76,2
1488,Manoj Chopra,19,Lance Naik,Grenadiers,65,2
1489,Raj Kumar,22,Havildar,Gorkha Rifles,63,1
1490,Amit Patel,20,Agniveer,Signals Corps,79,2
1491,Chandra Deshmukh,21,Lance Naik,Maratha Light Infantry,86,0
1492,Arjun Chopra,27,Naik,Gorkha Rifles,74,3
1493,Arjun Patel,23,Agniveer,Para SF,65,3
1494,Manoj Kumar,25,Agniveer,Grenadiers,73,0
1495,Amit Kumar,18,Agniveer,Gorkha Rifles,70,2
1496,Arjun Kumar,27,Havildar,Mechanised Infantry,98,1
1497,Anil Nair,25,Naik,Grenadiers,68,2
1498,Manoj Deshmukh,24,Lance Naik,Signals Corps,85,0
1499,Arjun Saxena,18,Havildar,Para SF,75,2
1500,Priya Saxena,19,Havildar,Madras Regiment,64,3
